class,id
1,UX conferences in mumbai for next week
0,list all the expert in oracle
0,scala analyst with experience less than 10 years
1,java trainings between 1st of May and 2nd of December
0,list all the expert
0,what are all the competencies on thursday
1,what are all the celebration in bangalore for this month
1,my project corporate I am speaking on thursday
0,scala related competencie on wednesday
1,oracle corporate in Chennai between 1st of May and 2nd of December
1,Python conferences in mumbai for this week
1,IBelong workshop I am organizing
1,what are all my recommended workshops in Chennai on this Saturday
1,list all my recommended corporates in newyork between 1st of May and 2nd of December
1,list all celebrations happening in chennai tomorrow
1,list all trainings happening in chennai on 21st April
1,UX celebration in newyork on this Saturday
1,Python events in bangalore between 1st of May and 2nd of December
0,scala related proposals for next week
0,oracle lessons learnts on this Saturday
1,list all my event in london on this Saturday
0,what are all my open issues on next tuesday
0,java related competencie for next week
1,list all celebrations I am participating tomorrow
0,course published in java for this week
0,my apricots tomorrow
1,UI conference I am speaking on wednesday
1,oracle corporate I am organizing on Monday
0,java analysts with experience more than 3 years
1,what are all my upcoming corporates today
0,iOS leads with experience more than 3 years
1,SCALA conference in mumbai on 21st April
1,Python conference in london today
0,my competencies From 17th April and 1st of May
1,UX celebrations happening in chennai for this month
1,list all my upcoming conferences in bangalore
1,scala trainings for next week
1,list all my celebrations in newyork for this week
0,developers with 2-7 years of experience in ajax
0,my project task on wednesday
0,list all my closed task on Monday
1,trainings on next tuesday
1,my conference in london on thursday
0,list all my closed apricots for this month
0,oracle courses From 17th April and 1st of May
0,analyst in ajax with 2-7 years of experience
1,what are all the conferences in Chennai between 1st of May and 2nd of December
1,UI celebrations for this week
0,my project risks on next tuesday
1,what are all my upcoming celebrations in newyork for next month
1,.net training on Monday
1,list all my recommended trainings in mumbai for this month
0,architect with experience more than 3 years in scala
1,d&i celebration I am participating on next tuesday
1,UX workshops in Chennai between 1st of May and 2nd of December
0,SAP case studies on wednesday
1,d&i events I am participating on this Saturday
0,competencies in oracle on Monday
1,list all my project event I am organizing on Monday
1,SCALA workshop in bangalore on 21st April
1,SCALA workshops I am participating on next tuesday
1,d&i celebrations happening in chennai for this week
1,my project training on thursday
0,best practice in ajax on wednesday
0,ajax competencies
0,what are all my closed task between 1st of May and 2nd of December
0,task for this month
0,list all the designer in ajax
0,list all the course for this month
1,Hub trainings I am speaking on wednesday
1,UX celebration in mumbai on 21st April
1,list all conference in mumbai on this Saturday
1,list all my project corporates happening in chennai on wednesday
0,oracle lead with 2-7 years of experience
1,IBelong workshop I am participating tomorrow
0,.net analyst with experience more than 3 years
0,best practices in ajax
1,what are all my upcoming event in london on wednesday
1,list all my upcoming celebrations in newyork on Monday
1,Hub events in bangalore on Monday
1,Hub event in Chennai tomorrow
1,UX workshop on Monday
1,my celebration in newyork From 17th April and 1st of May
0,lessons learnt in oracle on 21st April
1,what are all my recommended corporates in newyork
1,list all my project celebration happening in chennai on next tuesday
0,oracle architect in scala
0,leads in oracle with 2-7 years of experience
0,java related best practices on thursday
0,SAP case studies for next week
0,risks From 17th April and 1st of May
1,oracle events in mumbai for next month
1,list all my upcoming corporate in newyork on thursday
1,list all my recommended event in Chennai tomorrow
0,trainings available in scala for next month
0,android analysts with 5+ years of experience
1,UI corporate I am speaking today
1,UI event on thursday
0,SAP experts with 5 years of experience
1,my corporate in bangalore
0,list all my in progress apricot on Monday
1,java celebrations in Chennai From 17th April and 1st of May
0,case studie published in java on thursday
0,list all my initiated risks From 17th April and 1st of May
1,IBelong events in bangalore for next week
0,architects with 5+ years of experience in scala
0,scala case studies tomorrow
1,my project conferences I am organizing for next month
1,java workshop I am participating today
0,list all my closed risk From 17th April and 1st of May
1,what are all the conference happening in chennai on 21st April
0,list all my closed tasks tomorrow
1,what are all my recommended training I am speaking for next month
1,what are all my upcoming conferences between 1st of May and 2nd of December
0,developers in scala
1,list all my corporates in Chennai tomorrow
0,ajax architects with 2-7 years of experience
