query	class
my project risk on Monday	0
SCALA celebrations in Chennai	1
Hub events in Chennai	1
d&i celebration I am participating on 21st April	1
list all my project corporates I am participating for next week	1
what are all my initiated tasks From 17th April and 1st of May	0
apricot on Monday	0
IBelong conference on wednesday	1
proposals available in scala on next tuesday	0
java related lessons learnt on thursday	0
best practice available in scala on Monday	0
what are all my upcoming training for next month	1
list all corporate in mumbai for this week	1
my project risks for next month	0
IBelong conference happening in chennai for next month	1
list all my project training in bangalore today	1
Python celebration in bangalore for this week	1
what are all my recommended celebrations between 1st of May and 2nd of December	1
what are all my upcoming conferences I am speaking on thursday	1
list all my upcoming corporate in london for this week	1
my project apricot for next week	0
list all my recommended conference in bangalore today	1
scala developer in java	0
UI corporates in newyork for next week	1
experts in java with 5 years of experience	0
list all corporates in mumbai for this week	1
event in Chennai	1
what are all my upcoming event happening in chennai on this Saturday	1
list all celebration in Chennai between 1st of May and 2nd of December	1
what are all my upcoming celebration in newyork for next month	1
what are all the celebrations in london on next tuesday	1
scala related case studies today	0
oracle training happening in chennai From 17th April and 1st of May	1
UI corporates in bangalore for this week	1
list all my project conferences I am organizing for next week	1
oracle celebrations in Chennai today	1
d&i corporates happening in chennai From 17th April and 1st of May	1
my white paper for this week	0
scala competencie on Monday	0
what are all my closed risk on 21st April	0
lessons learnts available in scala	0
scala related courses for next week	0
java corporates I am speaking for this month	1
list all the white papers on wednesday	0
what are all my closed risk today	0
java competencie on Monday	0
scala competencie for next week	0
who are all the architect with experience less than 10 years	0
what are all my initiated apricots on Monday	0
Python workshop in bangalore between 1st of May and 2nd of December	1
oracle case studie on Monday	0
java related course on this Saturday	0
java course on Monday	0
SCALA corporates in bangalore on 21st April	1
expert with 5 years of experience	0
what are all my closed risk on Monday	0
SCALA workshops in london on 21st April	1
java workshops in bangalore on thursday	1
d&i events happening in chennai on thursday	1
list all my recommended trainings in london From 17th April and 1st of May	1
tasks for next month	0
scala related experts with experience less than 10 years	0
lessons learnt in oracle for next week	0
d&i conferences in Chennai for this week	1
list all my project conference I am speaking on wednesday	1
list all my in progress issues on thursday	0
lessons learnt in ajax on Monday	0
oracle best practice on Monday	0
UI corporate in london on 21st April	1
SCALA events in mumbai today	1
.net white paper on thursday	0
list all my workshop in bangalore on thursday	1
iOS leads in scala	0
oracle analyst in ajax	0
list all my recommended event in newyork From 17th April and 1st of May	1
list all my event happening in chennai for this week	1
ajax competencies for next week	0
SCALA celebrations happening in chennai on Monday	1
list all my upcoming conferences in mumbai between 1st of May and 2nd of December	1
