query	class
list all my recommended workshops in london on Monday	1
java trainings for next month	2
java designers in ajax	0
what are all the event I am speaking for this week	1
android leads with experience more than 3 years	0
UX trainings in bangalore today	1
proposal in oracle for next week	0
SCALA celebrations in bangalore for this week	1
list all my project event in mumbai on this Saturday	1
list all celebrations in Chennai on Monday	1
competencies in ajax on wednesday	2
designers in oracle with 5 years of experience	0
UX events I am participating on Monday	1
UX celebration I am participating for this week	1
who are all the designers	0
IBelong training on thursday	1
list all my project workshops happening in chennai on Monday	1
list all events I am speaking on 21st April	1
scala training on wednesday	0
my project celebrations in mumbai between 1st of May and 2nd of December	1
list all trainings From 17th April and 1st of May	1
list all the trainings for next month	0
UX celebration I am organizing on Monday	1
SAP competencies for this month	2
list all my tasks on Monday	0
oracle conferences for next month	1
designers in scala with experience less than 10 years	0
courses in ajax on 21st April	0
my conference in bangalore between 1st of May and 2nd of December	1
list all my recommended workshops in london for this month	1
SAP white papers for next week	0
java related training for next month	0
list all my upcoming celebration in Chennai on next tuesday	1
list all my open apricots on next tuesday	0
ajax course on this Saturday	0
java trainings for this week	1
list all my conferences I am speaking for this month	1
lead with 5+ years of experience	0
what are all my recommended celebrations in newyork on this Saturday	1
best practice published in java on 21st April	0
what are all the white paper tomorrow	0
list all my initiated apricot for this month	0
proposals in oracle on this Saturday	0
my event I am organizing for this month	1
list all the lessons learnt tomorrow	0
scala analyst with 5 years of experience	0
android leads with experience less than 10 years	0
Hub corporate I am participating between 1st of May and 2nd of December	1
list all workshop I am participating on Monday	1
Hub workshop in newyork on next tuesday	1
iOS designers with 2-7 years of experience	0
java celebration in bangalore on wednesday	1
ajax training From 17th April and 1st of May	0
training for next month	1
java trainings happening in chennai on wednesday	1
SCALA events in bangalore tomorrow	1
Hub corporates in newyork on next tuesday	1
java architects in ajax	0
white papers published in java for next week	2
training for this month	2
oracle trainings I am organizing for next week	1
what are all the workshops in bangalore tomorrow	1
my celebrations I am organizing tomorrow	1
my project issue on wednesday	0
my training in london for this month	1
what are all my initiated risk on 21st April	0
scala white paper for next month	0
UI event in Chennai for this month	1
list all my initiated task today	0
