query	class
list all corporates in Chennai between 1st of May and 2nd of December	0
what are all my upcoming workshops in london on wednesday	0
d&i conference I am speaking tomorrow	0
lessons learnt in oracle on Monday	2
list all my project celebrations I am organizing on wednesday	0
iOS developer with 5 years of experience	3
IBelong training in london for next month	0
list all my project corporate on wednesday	0
d&i workshops in london	0
list all my upcoming events I am organizing on wednesday	0
what are all my recommended trainings in Chennai on wednesday	0
my project conference in london on 21st April	0
my celebrations in london tomorrow	0
UI celebration in london for this week	0
my events in bangalore on thursday	0
UX training I am speaking for next month	0
my project corporates in london for next month	0
my events in london on this Saturday	0
what are all my upcoming conferences in mumbai on next tuesday	0
Hub events in bangalore for this month	0
java corporates I am speaking for this week	0
UX workshops I am organizing on this Saturday	0
list all my event in london on Monday	0
lead with experience more than 3 years	3
list all conferences happening in chennai on this Saturday	0
what are all my upcoming training I am participating for next week	0
UI trainings in bangalore on wednesday	0
proposal in ajax on Monday	2
what are all my recommended events happening in chennai on Monday	0
SCALA trainings in bangalore on wednesday	0
.net best practices between 1st of May and 2nd of December	2
Python conference in bangalore today	0
java related lessons learnt	2
list all my conference happening in chennai on thursday	0
UI training in london on Monday	0
list all my upcoming training in newyork between 1st of May and 2nd of December	0
list all my recommended conferences I am speaking on next tuesday	0
what are all the event in Chennai tomorrow	0
list all my upcoming corporates I am participating on next tuesday	0
IBelong celebrations I am speaking for this month	0
d&i conference happening in chennai on this Saturday	0
what are all the workshops in mumbai for next week	0
what are all the celebration happening in chennai for next week	0
my event happening in chennai on next tuesday	0
Hub celebration in newyork	0
list all my project conference in Chennai for this month	0
SAP best practices for next week	2
oracle conference happening in chennai for this week	0
Hub trainings I am organizing tomorrow	0
list all my project conferences in Chennai tomorrow	0
java related white papers on this Saturday	2
what are all my upcoming trainings in london on 21st April	0
iOS architect in oracle	3
lessons learnts available in scala on this Saturday	2
java event in Chennai on next tuesday	0
what are all the celebration in Chennai on next tuesday	0
IBelong workshop in bangalore on wednesday	0
list all celebrations in Chennai From 17th April and 1st of May	0
list all conference in Chennai for next month	0
my event in mumbai for this month	0
my project workshop in bangalore on this Saturday	0
what are all my recommended events in bangalore From 17th April and 1st of May	0
UX celebrations From 17th April and 1st of May	0
list all celebrations in newyork for next week	0
UX event happening in chennai for this week	0
my project event From 17th April and 1st of May	0
what are all my initiated issues on wednesday	1
my project corporate in Chennai for next week	0
list all my trainings I am speaking today	0
list all my upcoming conferences in newyork for next week	0
d&i trainings in london	0
oracle conference I am organizing for this month	0
UI conferences in london From 17th April and 1st of May	0
list all my celebrations in bangalore on wednesday	0
what are all my closed task for next month	1
Hub event I am participating for next week	0
UI training in london for next week	0
what are all the workshop I am participating on wednesday	0
Hub trainings in london	0
UI corporates in Chennai today	0
d&i events in london on next tuesday	0
SCALA celebrations in mumbai today	0
SCALA workshops in mumbai From 17th April and 1st of May	0
Python corporate on this Saturday	0
UI conferences I am participating for next month	0
Hub training on Monday	0
list all my project conference I am speaking on this Saturday	0
list all events happening in chennai on this Saturday	0
what are all the events in Chennai for this week	0
what are all the workshop I am speaking for this week	0
.net trainings on Monday	2
what are all the best practice between 1st of May and 2nd of December	2
d&i workshop in mumbai on wednesday	0
oracle event happening in chennai for next month	0
what are all my upcoming conference in Chennai on wednesday	0
UX trainings I am organizing tomorrow	0
my events in bangalore for next month	0
IBelong corporates I am participating for next week	0
my conference I am participating on next tuesday	0
d&i workshop I am participating on wednesday	0
list all celebration I am organizing on thursday	0
what are all my upcoming training in newyork for next month	0
Python celebrations I am speaking for this week	0
what are all my recommended conferences happening in chennai for next week	0
SCALA celebrations in bangalore on thursday	0
list all my recommended events today	0
oracle corporates in london on Monday	0
list all my corporate I am speaking on next tuesday	0
my workshops I am speaking on next tuesday	0
what are all the corporate in london for next week	0
iOS developers with experience less than 10 years	3
list all workshop in bangalore From 17th April and 1st of May	0
SCALA conference I am organizing between 1st of May and 2nd of December	0
Python conferences in newyork on Monday	0
white paper in oracle on Monday	2
ajax designers in ajax	3
what are all my recommended trainings in london tomorrow	0
Hub event in mumbai on thursday	0
my workshop I am participating on wednesday	0
what are all the workshop in london on thursday	0
Python event I am speaking for next month	0
Hub event happening in chennai on Monday	0
list all my recommended celebration in london on 21st April	0
list all my recommended workshops on next tuesday	0
what are all my recommended training in newyork From 17th April and 1st of May	0
list all my upcoming conference in newyork on 21st April	0
java conference in Chennai From 17th April and 1st of May	0
java corporate in newyork on 21st April	0
d&i workshops I am speaking From 17th April and 1st of May	0
list all my project event happening in chennai From 17th April and 1st of May	0
leads in ajax with 5 years of experience	3
d&i celebration I am participating on wednesday	0
what are all the training today	0
list all my upcoming workshops in bangalore for next month	0
list all my recommended training in newyork for this week	0
list all my recommended conference for this month	0
list all my recommended events in Chennai for next week	0
my project training tomorrow	0
list all workshops in london on Monday	0
what are all my recommended workshops in newyork for next week	0
java leads with experience more than 3 years	3
list all event I am speaking today	0
Hub event in mumbai	0
list all my upcoming workshop I am organizing	0
list all my upcoming celebrations in mumbai	0
UX corporate I am participating on Monday	0
list all my recommended event between 1st of May and 2nd of December	0
scala related analyst with 2-7 years of experience	3
list all training in mumbai	0
list all my upcoming training in london on Monday	0
