query	class
analyst with 2-7 years of experience in scala	3
scala related competencie tomorrow	2
list all my project apricots tomorrow	1
oracle corporate in london tomorrow	0
what are all my in progress tasks tomorrow	1
UI workshop in newyork on 21st April	0
SAP architect	3
what are all the training for next month	2
java workshop in Chennai today	0
list all my project conference in mumbai	0
SCALA event in newyork for this week	0
Hub conference happening in chennai From 17th April and 1st of May	0
.net training today	2
ajax case studies on 21st April	2
developer in scala	3
competencies in oracle on 21st April	2
java best practices on Monday	2
what are all my recommended celebrations in newyork on next tuesday	0
ajax architects in java	3
list all my initiated risk today	1
developer in java with experience less than 10 years	3
my training in bangalore on next tuesday	0
list all trainings in london From 17th April and 1st of May	0
scala related developer with 5+ years of experience	3
UI celebrations in newyork today	0
list all my issue on thursday	1
architect with experience more than 3 years	3
what are all the course for next week	2
Hub conference in bangalore on thursday	0
scala related leads with experience more than 3 years	3
list all my in progress risks From 17th April and 1st of May	1
apricot for this month	1
oracle lessons learnts on 21st April	2
oracle best practice From 17th April and 1st of May	2
list all my project tasks for this month	1
.net best practice on thursday	2
apricots on thursday	1
UX experts with 5 years of experience	3
proposal in oracle for next week	2
java expert	3
list all my project workshops in newyork for this month	0
what are all my closed issue tomorrow	1
UX analysts with experience less than 10 years	3
list all my open apricot for next month	1
what are all the conferences I am speaking for next month	0
list all my initiated issue for next month	1
what are all the corporate in mumbai on thursday	0
ajax lessons learnt today	2
list all the expert with experience less than 10 years	3
what are all my recommended celebration on Monday	0
java case studies on this Saturday	2
list all my tasks From 17th April and 1st of May	1
UX celebration in london for this month	0
my tasks on wednesday	1
list all my conference happening in chennai on wednesday	0
UX workshops I am speaking on thursday	0
SAP leads in scala	3
iOS developers in oracle	3
scala related architect with experience more than 3 years	3
my project risk for this month	1
list all my project event in Chennai on Monday	0
ajax designer with 2-7 years of experience	3
android designer in ajax	3
list all my in progress risk for this week	1
iOS lead in ajax	3
list all the architect with experience less than 10 years	3
java related competencie for next month	2
list all my initiated tasks on this Saturday	1
list all the expert in scala	3
list all my project tasks for next month	1
best practice published in java on this Saturday	2
d&i conferences happening in chennai on Monday	0
my training in bangalore tomorrow	0
list all the architect in java	3
