query	class
list all my issues between 1st of May and 2nd of December	1
list all my upcoming celebration in mumbai on next tuesday	0
lessons learnts in oracle for next month	2
list all my project risk on next tuesday	1
list all celebration in newyork for next month	0
scala analyst with 5+ years of experience	3
list all my open task for this week	1
who are all the developers with 5 years of experience	3
developers in oracle with 2-7 years of experience	3
my competencies on next tuesday	2
list all my event in bangalore on next tuesday	0
list all my events I am organizing today	0
.net course for next month	2
white paper available in scala for next week	2
developer in java with experience more than 3 years	3
java workshop in mumbai for this week	0
oracle celebrations in Chennai tomorrow	0
SAP experts with 5+ years of experience	3
SAP developers in oracle	3
list all my event I am speaking for next week	0
my tasks From 17th April and 1st of May	1
developers with 2-7 years of experience	3
list all my project risk for next month	1
.net developer	3
scala related courses tomorrow	2
who are all the expert with experience less than 10 years	3
IBelong celebration I am participating on next tuesday	0
ajax white paper for next month	2
java expert	3
scala architect with 5 years of experience	3
android developers with 5 years of experience	3
leads with experience less than 10 years in oracle	3
oracle proposals for next month	2
proposals available in scala on wednesday	2
experts with experience less than 10 years	3
what are all my initiated apricot for this week	1
developer with 2-7 years of experience	3
ajax case studies for this week	2
oracle best practices for next month	2
what are all my initiated tasks on 21st April	1
android architect with experience more than 3 years	3
SCALA workshop I am participating for this month	0
scala related competencie for next month	2
scala architect in ajax	3
what are all my closed apricots for next month	1
java expert with 5+ years of experience	3
list all my conferences I am speaking on 21st April	0
list all my project celebrations I am participating for next month	0
what are all my in progress risk for next month	1
list all my closed tasks on this Saturday	1
my issues between 1st of May and 2nd of December	1
list all my upcoming trainings in newyork on Monday	0
training in oracle for this week	2
what are all my initiated issue tomorrow	1
my project issues for next month	1
scala related courses on 21st April	2
designers with 5 years of experience	3
list all my open tasks for next week	1
scala developers in scala	3
list all the proposal on Monday	2
what are all my open issues on 21st April	1
.net proposals on 21st April	2
oracle case studies for next week	2
list all my open issue for this month	1
.net courses	2
oracle expert in oracle	3
list all the competencies on 21st April	2
UX architects in java	3
analyst in scala with experience more than 3 years	3
list all the case studie between 1st of May and 2nd of December	2
iOS architects in oracle	3
list all my in progress issues today	1
list all my in progress task for next week	1
what are all the trainings in newyork on 21st April	0
oracle training in Chennai on Monday	0
proposal in ajax for next month	2
best practices in ajax From 17th April and 1st of May	2
android expert in scala	3
scala proposals	2
leads with experience less than 10 years in ajax	3
lessons learnt available in scala for this week	2
oracle architects with experience more than 3 years	3
what are all the best practices on this Saturday	2
list all my project tasks for next week	1
list all the leads in ajax	3
java designers in oracle	3
oracle workshop I am organizing	0
list all my issue tomorrow	1
list all corporates on next tuesday	0
list all my corporates I am speaking on wednesday	0
leads with 2-7 years of experience in java	3
lessons learnt in oracle on next tuesday	2
scala best practice on 21st April	2
SAP designer with experience less than 10 years	3
courses available in scala for next month	2
list all the course on next tuesday	2
best practices in ajax on 21st April	2
scala related analysts	3
my project celebrations in london on thursday	0
list all my closed apricot on next tuesday	1
list all my closed risks on next tuesday	1
what are all the events for this week	0
my project issues tomorrow	1
white papers on thursday	2
Python workshops I am organizing for next week	0
list all my task on wednesday	1
iOS architects with 5 years of experience	3
list all my project trainings I am participating on thursday	0
list all my apricot between 1st of May and 2nd of December	1
my apricots From 17th April and 1st of May	1
my white paper on this Saturday	2
list all my recommended conference happening in chennai on thursday	0
what are all my closed apricots tomorrow	1
list all my project conference I am speaking	0
oracle designers with experience less than 10 years	3
what are all the white papers on thursday	2
what are all my initiated apricots on thursday	1
SAP course for next month	2
list all my recommended conferences happening in chennai for this week	0
my apricots on 21st April	1
lead in ajax with 5+ years of experience	3
java proposal for this month	2
list all my workshop in mumbai for next week	0
Hub conferences I am participating for next week	0
java developers in java	3
my risk for this month	1
