class,id
1,UX conferences I am speaking for this month
0,what are all my open task on wednesday
0,designer with 2-7 years of experience in scala
1,list all my project conferences in mumbai between 1st of May and 2nd of December
1,list all my upcoming trainings in london on 21st April
0,white papers on next tuesday
0,experts in java with 5 years of experience
1,oracle events in london tomorrow
1,what are all my recommended events in Chennai for this month
2,oracle best practice for this month
1,list all my upcoming event I am speaking on thursday
1,UX corporates in bangalore for this month
0,java competencie From 17th April and 1st of May
0,SAP courses on wednesday
1,d&i workshops in bangalore on next tuesday
1,Hub events I am speaking on 21st April
0,what are all the course today
1,SCALA conferences in london for next week
1,what are all my recommended training in Chennai for this month
2,course published in java for next month
1,Hub workshops in mumbai From 17th April and 1st of May
0,course in ajax today
0,.net trainings on next tuesday
2,best practices in ajax today
1,UI celebration I am speaking on thursday
1,my corporates in bangalore on thursday
1,what are all my recommended corporates in mumbai on next tuesday
1,list all my recommended conference I am organizing From 17th April and 1st of May
2,java related best practice on 21st April
1,SCALA trainings I am organizing on wednesday
2,white paper published in java From 17th April and 1st of May
0,best practice available in scala From 17th April and 1st of May
0,.net developer
1,what are all my recommended corporates in bangalore for this week
1,UI celebrations in Chennai on this Saturday
0,list all my project risks for next month
0,.net competencies on wednesday
0,architect in oracle with experience less than 10 years
0,java lessons learnts today
0,scala white papers for next month
0,scala training on next tuesday
1,what are all my recommended corporates I am speaking
1,my project workshops happening in chennai on Monday
0,SAP competencies on Monday
1,java celebration I am speaking for next week
1,UX training in mumbai for this month
0,risks on wednesday
0,white papers available in scala on this Saturday
0,best practices available in scala for this week
1,Python celebrations I am organizing tomorrow
1,d&i celebrations in bangalore for next month
0,white paper in oracle on 21st April
2,java white paper today
0,.net trainings From 17th April and 1st of May
1,Hub corporate on wednesday
1,what are all my recommended corporates on Monday
1,UI training I am participating
0,what are all my initiated tasks between 1st of May and 2nd of December
0,oracle trainings on 21st April
0,what are all my initiated apricot From 17th April and 1st of May
1,list all my project trainings in london on Monday
0,my project issues between 1st of May and 2nd of December
1,list all my project corporates I am organizing for next week
1,list all my project celebrations in mumbai for next month
1,my project trainings I am participating for next month
0,scala training on thursday
1,Python trainings I am speaking for this week
0,SAP trainings From 17th April and 1st of May
0,iOS experts in java
0,iOS analysts in scala
2,.net proposals From 17th April and 1st of May
1,list all my recommended workshops in london for this month
0,list all the case studies on wednesday
0,list all the lessons learnt on wednesday
0,best practices available in scala for this week
2,my best practices between 1st of May and 2nd of December
1,what are all my recommended event in london for next month
0,.net white paper for this week
1,IBelong trainings I am speaking for this month
0,scala related white papers for this month
0,list all the analysts
0,java related course on Monday
0,course published in java between 1st of May and 2nd of December
1,java conference in mumbai on this Saturday
0,list all the developer
2,trainings available in scala on next tuesday
1,event I am participating
0,case studies in oracle between 1st of May and 2nd of December
0,lessons learnts tomorrow
0,.net designers with experience less than 10 years
1,java workshop I am participating for next week
2,scala related proposal between 1st of May and 2nd of December
0,java white papers on thursday
0,what are all my closed issues for this week
1,what are all my recommended workshops I am speaking for next month
1,Python conferences in mumbai for this month
2,proposals published in java on this Saturday
1,SCALA event happening in chennai on 21st April
0,java trainings for this month
1,what are all my recommended event in Chennai tomorrow
1,UX events in london on thursday
1,java workshops in newyork for this week
0,list all my open apricots for this month
1,oracle events I am participating for next month
2,my competencie on next tuesday
1,what are all my recommended workshops in bangalore for this month
1,oracle training I am speaking tomorrow
1,Hub conference I am speaking today
0,scala courses
2,lessons learnts available in scala for next week
1,Hub trainings I am participating today
1,list all corporate in newyork for this month
0,lessons learnt published in java on 21st April
1,what are all the workshops in london for next month
0,list all the training today
0,what are all my initiated apricots for next week
